1.200000 0.997205 -0.994548 0.005026 0.015246
1.250000 0.996239 -0.992725 0.006814 0.019230
1.300000 0.994912 -0.990279 0.009126 0.023775
1.350000 0.992329 -0.985649 0.014137 0.033864
1.400000 0.991270 -0.983608 0.015263 0.035376
1.450000 0.988921 -0.979666 0.021770 0.043251
1.500000 0.985711 -0.974480 0.029935 0.051757
1.550000 0.983386 -0.970464 0.034416 0.056314
1.600000 0.979809 -0.964445 0.040180 0.063174
1.650000 0.975574 -0.957413 0.050384 0.073228
1.700000 0.970925 -0.949431 0.054068 0.077939
1.750000 0.966861 -0.943250 0.075383 0.091771
1.800000 0.956267 -0.927754 0.096492 0.108744
1.850000 0.952963 -0.922800 0.103952 0.108921
1.900000 0.939586 -0.906883 0.193268 0.139154
1.950000 0.925008 -0.889441 0.262395 0.161674
2.000000 0.917489 -0.876346 0.229246 0.161823
2.050000 0.894667 -0.850111 0.329561 0.185104
2.100000 0.870299 -0.830328 0.733966 0.244290
2.150000 0.815460 -0.788618 1.369883 0.284464
2.200000 0.813078 -0.782122 1.261243 0.267636
2.250000 0.745718 -0.734205 1.786159 0.302697
2.300000 0.735474 -0.716567 1.708996 0.296273
2.350000 0.714500 -0.701570 1.895634 0.275341
2.400000 0.641617 -0.658556 2.502985 0.315793
2.450000 0.562720 -0.615026 2.816905 0.304875
2.500000 0.519654 -0.578829 2.346643 0.257915
2.550000 0.493666 -0.564161 2.606402 0.269359
2.600000 0.427017 -0.528147 2.359962 0.223002
2.650000 0.442482 -0.523294 2.240667 0.216717
2.700000 0.429383 -0.515013 2.182469 0.205897
2.750000 0.357227 -0.473174 1.818473 0.163728
2.800000 0.346941 -0.467508 1.728954 0.146821
2.850000 0.307680 -0.446932 1.489584 0.128968
2.900000 0.293084 -0.436176 1.465932 0.135658
2.950000 0.303669 -0.431250 1.369513 0.124217
3.000000 0.294092 -0.420305 1.307014 0.115769
3.050000 0.258527 -0.401719 1.113380 0.109461
3.100000 0.266801 -0.397001 1.117959 0.100637
3.150000 0.237619 -0.382960 0.964421 0.088472
3.200000 0.254059 -0.379944 0.925751 0.086093
3.250000 0.226472 -0.368189 0.759204 0.081236
3.300000 0.222756 -0.361399 0.810455 0.077457
3.350000 0.226390 -0.351790 0.750848 0.070996
3.400000 0.200370 -0.341001 0.636721 0.066276
3.450000 0.204787 -0.337084 0.615491 0.061154
3.500000 0.203536 -0.333901 0.629977 0.064143
3.550000 0.200718 -0.322567 0.585179 0.060503
3.600000 0.175904 -0.313481 0.464645 0.054199
3.650000 0.196506 -0.316855 0.542684 0.055192
3.700000 0.185401 -0.306217 0.462270 0.053265
3.750000 0.180505 -0.305452 0.468567 0.053927
3.800000 0.176421 -0.296468 0.466587 0.047327
3.850000 0.172776 -0.292640 0.400731 0.045713
3.900000 0.174011 -0.287543 0.411075 0.047020
3.950000 0.166563 -0.281779 0.390874 0.043442
4.000000 0.168751 -0.281354 0.379647 0.044632
4.050000 0.163077 -0.277217 0.378053 0.042349
4.100000 0.158204 -0.272028 0.335564 0.039216
4.150000 0.155003 -0.263761 0.316206 0.036960
4.200000 0.150895 -0.258627 0.289453 0.038562
